編號,檔名,主題,URL
0001,0001_KEE3_E10_日漸沉沒的樂園.pdf,KEE3_E10_日漸沉沒的樂園,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0001_KEE3_E10_%E6%97%A5%E6%BC%B8%E6%B2%89%E6%B2%92%E7%9A%84%E6%A8%82%E5%9C%92.pdf
0002,0002_KEE3_E11_氣候變遷的危機.pdf,KEE3_E11_氣候變遷的危機,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0002_KEE3_E11_%E6%B0%A3%E5%80%99%E8%AE%8A%E9%81%B7%E7%9A%84%E5%8D%B1%E6%A9%9F.pdf
0003,0003_KEE3_E12_天氣與休閒活動.pdf,KEE3_E12_天氣與休閒活動,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0003_KEE3_E12_%E5%A4%A9%E6%B0%A3%E8%88%87%E4%BC%91%E9%96%92%E6%B4%BB%E5%8B%95.pdf
0004,0004_KEE3_E13_溫室氣體與海平面上升.pdf,KEE3_E13_溫室氣體與海平面上升,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0004_KEE3_E13_%E6%BA%AB%E5%AE%A4%E6%B0%A3%E9%AB%94%E8%88%87%E6%B5%B7%E5%B9%B3%E9%9D%A2%E4%B8%8A%E5%8D%87.pdf
0005,0005_KEE3_E14_環保行動Action.pdf,KEE3_E14_環保行動Action,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0005_KEE3_E14_%E7%92%B0%E4%BF%9D%E8%A1%8C%E5%8B%95Action.pdf
0006,0006_KEE3_E1_夏天來了.pdf,KEE3_E1_夏天來了,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0006_KEE3_E1_%E5%A4%8F%E5%A4%A9%E4%BE%86%E4%BA%86.pdf
0007,0007_KEE3_E2_節能減碳小學堂.pdf,KEE3_E2_節能減碳小學堂,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0007_KEE3_E2_%E7%AF%80%E8%83%BD%E6%B8%9B%E7%A2%B3%E5%B0%8F%E5%AD%B8%E5%A0%82.pdf
0008,0008_KEE3_E3_全球暖化.pdf,KEE3_E3_全球暖化,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0008_KEE3_E3_%E5%85%A8%E7%90%83%E6%9A%96%E5%8C%96.pdf
0009,0009_KEE3_E4_異常的天氣.pdf,KEE3_E4_異常的天氣,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0009_KEE3_E4_%E7%95%B0%E5%B8%B8%E7%9A%84%E5%A4%A9%E6%B0%A3.pdf
0010,0010_KEE3_E5_氣候變遷面面觀.pdf,KEE3_E5_氣候變遷面面觀,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0010_KEE3_E5_%E6%B0%A3%E5%80%99%E8%AE%8A%E9%81%B7%E9%9D%A2%E9%9D%A2%E8%A7%80.pdf
0011,0011_KEE3_E6_減碳我最會.pdf,KEE3_E6_減碳我最會,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0011_KEE3_E6_%E6%B8%9B%E7%A2%B3%E6%88%91%E6%9C%80%E6%9C%83.pdf
0012,0012_KEE3_E7_關心全球暖化.pdf,KEE3_E7_關心全球暖化,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0012_KEE3_E7_%E9%97%9C%E5%BF%83%E5%85%A8%E7%90%83%E6%9A%96%E5%8C%96.pdf
0013,0013_KEE3_E8_生病的地球.pdf,KEE3_E8_生病的地球,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0013_KEE3_E8_%E7%94%9F%E7%97%85%E7%9A%84%E5%9C%B0%E7%90%83.pdf
0014,0014_KEE3_E9_從自己做起.pdf,KEE3_E9_從自己做起,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0014_KEE3_E9_%E5%BE%9E%E8%87%AA%E5%B7%B1%E5%81%9A%E8%B5%B7.pdf
0015,0015_KEE3_J1_氣候變化與環境.pdf,KEE3_J1_氣候變化與環境,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0015_KEE3_J1_%E6%B0%A3%E5%80%99%E8%AE%8A%E5%8C%96%E8%88%87%E7%92%B0%E5%A2%83.pdf
0016,0016_KEE3_J2_氣候異常與全球暖化.pdf,KEE3_J2_氣候異常與全球暖化,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0016_KEE3_J2_%E6%B0%A3%E5%80%99%E7%95%B0%E5%B8%B8%E8%88%87%E5%85%A8%E7%90%83%E6%9A%96%E5%8C%96.pdf
0017,0017_KEE3_J3_氣候變變變.pdf,KEE3_J3_氣候變變變,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0017_KEE3_J3_%E6%B0%A3%E5%80%99%E8%AE%8A%E8%AE%8A%E8%AE%8A.pdf
0018,0018_KEE3_J4_候選人4ni.pdf,KEE3_J4_候選人4ni,https://raw.githubusercontent.com/yujchang2017/edurepo/main/docs/0018_KEE3_J4_%E5%80%99%E9%81%B8%E4%BA%BA4ni.pdf
